"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.0.82",2.2388,2.1052,2.0565,2.0334,2.0205,2.0133,2.0074,2.0042
"Bin.2.54",2.194,2.1831,2.1328,2.1044,2.0903,2.0818,2.076,2.073
"Bin.2.70",2.1922,2.1881,2.1396,2.1121,2.099,2.0906,2.0856,2.083
"Bin.0.94",2.1904,2.0591,2.0122,1.9902,1.9768,1.9694,1.9633,1.9604
"Bin.0.78",2.0459,1.9228,1.8811,1.8594,1.8485,1.8419,1.837,1.8342
"Bin.2.66",1.9627,1.9561,1.9108,1.8854,1.8736,1.866,1.8611,1.8583
"Bin.2.58",1.922,1.9511,1.9151,1.8932,1.8805,1.8768,1.8712,1.8693
"Bin.0.98",1.9195,1.8215,1.7795,1.7582,1.7464,1.7396,1.7345,1.7323
"Bin.8.30",1.8993,1.7981,1.7573,1.7408,1.7291,1.7257,1.7206,1.7195
"Bin.1.02",1.884,1.784,1.7442,1.7216,1.71,1.7039,1.6988,1.6976
"Bin.8.66",1.8576,1.7492,1.7173,1.6957,1.6844,1.6787,1.6754,1.6742
"Bin.0.86",1.8567,1.7681,1.7273,1.7043,1.6956,1.6892,1.6845,1.6819
"Bin.1.70",1.8276,1.7322,1.695,1.6781,1.6691,1.6633,1.6591,1.6576
"Bin.8.14",1.8109,1.7067,1.6685,1.6509,1.6423,1.6409,1.6365,1.6373
"Bin.1.42",1.7579,1.6945,1.6555,1.6342,1.6233,1.6202,1.6156,1.6136
"Bin.8.26",1.7398,1.6402,1.6129,1.592,1.5855,1.5797,1.5753,1.5735
"Bin.0.90",1.7396,1.673,1.6343,1.6131,1.6058,1.5992,1.5958,1.5934
"Bin.7.82",1.7225,1.6563,1.622,1.6047,1.595,1.5894,1.5853,1.5831
"Bin.8.42",1.7199,1.6169,1.5868,1.5657,1.5573,1.5629,1.558,1.5559
"Bin.7.54",1.7166,1.6507,1.6147,1.5976,1.5873,1.5821,1.5786,1.5762
"Bin.2.10",1.6985,1.6022,1.5703,1.5513,1.5427,1.5364,1.5323,1.5305
"Bin.1.62",1.6942,1.628,1.5922,1.571,1.5641,1.559,1.5546,1.5521
"Bin.7.86",1.6747,1.6195,1.5903,1.5778,1.5688,1.5629,1.5583,1.5563
"Bin.7.66",1.6568,1.6135,1.5859,1.572,1.564,1.5579,1.5531,1.5508
"Bin.1.86",1.6556,1.562,1.5353,1.5292,1.5245,1.5186,1.5145,1.5125
"Bin.1.66",1.6553,1.5861,1.5534,1.5352,1.5302,1.5244,1.5197,1.5173
"Bin.3.98",1.6553,1.5624,1.5421,1.5237,1.5138,1.5077,1.5032,1.5013
"Bin.8.38",1.6499,1.5559,1.5255,1.5061,1.4964,1.4956,1.4911,1.4892
"Bin.8.58",1.6101,1.514,1.4988,1.4791,1.4703,1.4683,1.4641,1.4629
"Bin.7.58",1.5516,1.5148,1.4804,1.4697,1.4617,1.4567,1.4527,1.4508
"Bin.3.14",1.5389,1.6036,1.5711,1.5525,1.5434,1.5382,1.5334,1.5333
"Bin.1.38",1.503,1.4277,1.4043,1.3937,1.3852,1.3796,1.3805,1.3784
"Bin.4.26",1.4847,1.3954,1.3635,1.3604,1.3515,1.3474,1.3435,1.3419
"Bin.1.98",1.4799,1.4025,1.3949,1.3875,1.3947,1.3916,1.3882,1.3866
"Bin.2.62",1.477,1.5592,1.5259,1.5084,1.501,1.4977,1.4933,1.4917
"Bin.1.74",1.4321,1.4159,1.3841,1.3695,1.3616,1.3566,1.3555,1.356
"Bin.2.30",1.4239,1.3394,1.3162,1.299,1.3081,1.3043,1.3056,1.3037
"Bin.7.62",1.4222,1.4019,1.3704,1.3585,1.3495,1.3464,1.3452,1.3431
"Bin.1.58",1.3987,1.4073,1.3748,1.3602,1.3712,1.3664,1.3624,1.3603
"Bin.7.02",1.3757,1.452,1.4192,1.4003,1.3977,1.3995,1.4077,1.4072
"Bin.1.78",1.3726,1.3452,1.3164,1.3021,1.3088,1.3034,1.3004,1.2989
"Bin.4.22",1.3605,1.2981,1.285,1.2754,1.2669,1.2624,1.26,1.2618
"Bin.1.94",1.3509,1.2698,1.2415,1.2587,1.2628,1.2576,1.2578,1.2562
"Bin.7.30",1.344,1.2687,1.2502,1.2575,1.2506,1.2594,1.2572,1.2579
"Bin.8.78",1.34,1.2603,1.2504,1.2382,1.2368,1.232,1.2328,1.2308
"Bin.8.34",1.3305,1.2507,1.2219,1.2307,1.224,1.2198,1.216,1.2216
"Bin.2.26",1.3251,1.302,1.2927,1.2856,1.2852,1.2801,1.2763,1.2756
"Bin.1.82",1.3174,1.2892,1.2616,1.2489,1.2559,1.2513,1.2511,1.2492
"Bin.6.82",1.2997,1.2322,1.2075,1.1917,1.1869,1.1823,1.1787,1.1808
"Bin.1.90",1.2985,1.2211,1.208,1.193,1.1854,1.1826,1.1922,1.1912
"Bin.1.46",1.2425,1.2613,1.2322,1.2217,1.214,1.229,1.2265,1.2251
"Bin.1.54",1.2311,1.1763,1.1535,1.1386,1.1388,1.1363,1.1347,1.133
"Bin.8.74",1.2246,1.1756,1.1611,1.1573,1.1518,1.1525,1.1489,1.1472
"Bin.3.70",1.2056,1.1405,1.1403,1.1288,1.1337,1.143,1.1396,1.1378
"Bin.7.46",1.1979,1.3043,1.2757,1.2669,1.2627,1.2581,1.2559,1.2618
"Bin.7.06",1.1884,1.3353,1.3107,1.2969,1.2916,1.2919,1.2967,1.2948
"Bin.8.70",1.1638,1.1014,1.0884,1.0856,1.079,1.0755,1.074,1.075
"Bin.1.06",1.1482,1.26,1.233,1.2189,1.211,1.2077,1.2046,1.2028
"Bin.2.22",1.1356,1.1008,1.095,1.0811,1.0871,1.0863,1.083,1.0813
"Bin.8.62",1.1015,1.0368,1.0353,1.0412,1.0345,1.0311,1.0314,1.0298
"Bin.3.74",1.099,1.0666,1.0457,1.033,1.0425,1.0503,1.0493,1.0477
"Bin.2.50",1.0923,1.2807,1.2603,1.2683,1.2609,1.257,1.2541,1.2521
"Bin.2.06",1.0672,1.0391,1.039,1.0612,1.0564,1.0536,1.0541,1.0528
"Bin.1.50",1.0533,1.2506,1.2302,1.2244,1.2184,1.2207,1.2169,1.216
"Bin.4.30",1.0484,0.98823,0.96535,0.97569,0.96913,0.96519,0.96224,0.96178
"Bin.4.14",1.0172,0.98792,0.96978,0.95927,0.96639,0.96447,0.96211,0.96094
"Bin.2.46",1.0166,1.226,1.2072,1.2035,1.2141,1.2096,1.2103,1.2091
"Bin.2.02",1.0133,0.96787,1.0121,1.0439,1.0375,1.0335,1.0331,1.0334
"Bin.3.04",1.007,0.974,0.95882,0.94697,0.97134,0.96811,0.97597,0.9785
"Bin.8.54",1.0034,0.94305,0.93144,0.92907,0.92297,0.9281,0.92857,0.92787
"Bin.3.06",0.96446,0.93744,0.92238,0.91445,0.93692,0.93457,0.94068,0.94256
"Bin.3.58",0.95842,1.0734,1.0522,1.0397,1.0345,1.0312,1.0317,1.0302
"Bin.4.34",0.95435,0.90046,0.91075,0.89978,0.92313,0.92798,0.9339,0.93242
"Bin.0.50",0.94085,0.96052,0.94863,0.97398,0.96873,0.96481,0.96226,0.96624
"Bin.7.78",0.92568,0.8714,0.86449,0.8538,0.84865,0.848,0.87115,0.86985
"Bin.8.22",0.91352,0.95772,0.9367,0.94096,0.93583,0.9341,0.9322,0.93415
"Bin.3.34",0.91331,0.98358,0.97324,0.96035,0.95401,0.96438,0.97552,0.97428
"Bin.9.22",0.87945,0.87378,0.86276,0.87928,0.87707,0.87729,0.87476,0.8743
"Bin.4.06",0.87678,0.85257,0.85088,0.84073,0.85599,0.85253,0.8561,0.86251
"Bin.3.90",0.87606,0.84883,0.83534,0.86773,0.87583,0.87516,0.87348,0.87284
"Bin.3.54",0.86105,0.81097,0.8122,0.80184,0.83207,0.84505,0.84242,0.84235
"Bin.2.98",0.85299,0.80752,0.81605,0.81606,0.85053,0.84706,0.84555,0.84455
"Bin.1.14",0.84668,0.82147,0.80314,0.79265,0.78877,0.80334,0.80088,0.80139
"Bin.1.18",0.83488,0.84089,0.8259,0.81628,0.85405,0.85288,0.85404,0.85276
"Bin.1.34",0.82937,0.81554,0.81281,0.81122,0.81751,0.82757,0.83134,0.83036
"Bin.3.86",0.81126,0.82877,0.82289,0.83302,0.83434,0.83777,0.83606,0.83481
"Bin.1.26",0.79745,1.2993,1.2703,1.2552,1.2468,1.242,1.2391,1.2374
"Bin.4.04",0.79332,0.79086,0.79174,0.7812,0.80573,0.80277,0.80493,0.81212
"Bin.4.18",0.79285,0.74951,0.74069,0.7581,0.79747,0.79422,0.79278,0.7949
"Bin.7.90",0.78536,0.75146,0.73764,0.73753,0.74654,0.76126,0.7598,0.75907
"Bin.7.22",0.75887,0.83177,0.81528,0.88446,0.87879,0.87611,0.8746,0.87758
"Bin.3.50",0.75502,0.75296,0.73691,0.76997,0.77952,0.79735,0.79887,0.80199
"Bin.3.62",0.75344,0.82954,0.8635,0.85437,0.86611,0.86564,0.86674,0.86559
"Bin.4.10",0.74309,0.77531,0.7583,0.77979,0.77707,0.77507,0.77363,0.77318
"Bin.3.94",0.74186,0.79317,0.77508,0.90068,0.90036,0.90654,0.90652,0.90685
"Bin.4.38",0.74002,0.79245,0.78068,0.77749,0.77228,0.76916,0.77465,0.77425
"Bin.0.22",0.71254,0.70531,0.74246,0.73819,0.74073,0.73926,0.73979,0.73951
"Bin.8.50",0.71086,0.67484,0.69756,0.68951,0.6905,0.68923,0.70863,0.71406
"Bin.0.26",0.71061,0.71494,0.73236,0.73986,0.73503,0.73817,0.73636,0.738
"Bin.3.18",0.69389,0.74282,0.79744,0.81495,0.82646,0.82333,0.82477,0.82594
"Bin.3.38",0.68325,0.75579,0.74165,0.76607,0.77109,0.78045,0.77956,0.77871
"Bin.9.82",0.66476,0.64657,0.6735,0.66478,0.67046,0.66779,0.67028,0.67043
"Bin.0.62",0.66357,0.65271,0.71351,0.72813,0.72578,0.72405,0.72312,0.72257
"Bin.8.98",0.65519,0.70212,0.69903,0.7895,0.78463,0.78208,0.78553,0.78557
"Bin.9.18",0.64557,0.70246,0.70279,0.70529,0.70369,0.70629,0.70459,0.70702
"Bin.3.66",0.64216,0.69333,0.75552,0.74622,0.75636,0.75448,0.7587,0.76195
"Bin.2.74",0.63535,0.65678,0.64995,0.65382,0.65131,0.64874,0.64709,0.64998
"Bin.2.86",0.62721,0.59009,0.65606,0.66627,0.66212,0.66244,0.66047,0.66762
"Bin.3.22",0.61773,0.58076,0.67231,0.7246,0.79474,0.79406,0.79524,0.79399
"Bin.0.58",0.61229,0.59645,0.66192,0.68269,0.68594,0.68589,0.68657,0.68566
"Bin.0.46",0.60732,0.58193,0.64462,0.64777,0.64349,0.64875,0.66576,0.66547
"Bin.9.14",0.59125,0.6215,0.61661,0.63768,0.63468,0.63284,0.63123,0.63051
"Bin.9.50",0.58731,0.57491,0.60076,0.59598,0.59382,0.61109,0.626,0.6336
"Bin.7.14",0.5859,0.60582,0.66154,0.6584,0.65404,0.6635,0.66155,0.66195
"Bin.3.30",0.58555,0.71094,0.70321,0.76254,0.77251,0.77725,0.79514,0.79621
"Bin.2.34",0.56884,0.5429,0.53038,0.61931,0.61582,0.61643,0.61721,0.62107
"Bin.2.14",0.54985,0.7085,0.70807,0.69878,0.7169,0.71665,0.71493,0.71379
"Bin.6.42",0.52851,0.60043,0.60274,0.61832,0.61696,0.65033,0.65079,0.65023
"Bin.0.54",0.52479,0.51296,0.60171,0.624,0.62518,0.62499,0.62412,0.62319
"Bin.8.46",0.51954,0.55454,0.56684,0.55945,0.56756,0.56524,0.56401,0.56622
"Bin.3.10",0.51604,0.49791,0.57156,0.70598,0.72054,0.71929,0.72039,0.72222
"Bin.8.82",0.50154,0.52865,0.55846,0.56214,0.56,0.55775,0.55669,0.55617
"Bin.8.10",0.5008,0.49977,0.49554,0.51235,0.51194,0.5213,0.52055,0.51972
"Bin.7.34",0.49444,0.79356,0.78748,0.79669,0.82663,0.82327,0.82167,0.82103
"Bin.8.94",0.48652,0.47326,0.60556,0.62267,0.6286,0.62605,0.62633,0.6256
"Bin.7.74",0.48159,0.45334,0.44314,0.47432,0.4726,0.48089,0.48196,0.48224
"Bin.6.30",0.47763,0.58224,0.62543,0.65043,0.64944,0.66847,0.66886,0.66891
"Bin.9.42",0.46202,0.45428,0.54137,0.53723,0.53679,0.53711,0.53825,0.5418
"Bin.7.38",0.45604,0.81561,0.80103,0.83143,0.83645,0.8331,0.83056,0.8324
"Bin.6.34",0.45586,0.57645,0.57282,0.60359,0.59979,0.62683,0.63135,0.63051
"Bin.3.46",0.45244,0.5667,0.55459,0.5951,0.62311,0.64017,0.64308,0.64505
"Bin.7.42",0.44554,0.71335,0.69967,0.74358,0.76678,0.76564,0.76455,0.76436
"Bin.6.58",0.43553,0.48138,0.51691,0.5662,0.56254,0.58192,0.58378,0.58327
"Bin.6.62",0.4292,0.46804,0.51505,0.56198,0.55868,0.57684,0.57794,0.57765
"Bin.7.18",0.42337,0.40079,0.40344,0.40014,0.44677,0.47006,0.4699,0.47665
"Bin.0.30",0.42054,0.47332,0.53884,0.54234,0.53872,0.53716,0.54188,0.5587
"Bin.6.38",0.41538,0.56177,0.60978,0.63251,0.63424,0.65599,0.6562,0.65632
"Bin.6.86",0.39978,0.37779,0.50359,0.50185,0.49959,0.49987,0.4986,0.49917
"Bin.2.18",0.39793,0.46848,0.47644,0.52675,0.52557,0.5258,0.5277,0.52759
"Bin.9.30",0.39626,0.48138,0.64274,0.6412,0.63765,0.63505,0.63347,0.6328
"Bin.9.70",0.39112,0.43056,0.43889,0.44036,0.43785,0.44103,0.47716,0.4774
"Bin.8.90",0.39055,0.50175,0.60379,0.63465,0.63075,0.62996,0.62805,0.6334
"Bin.9.78",0.38902,0.55145,0.63161,0.66971,0.67619,0.6888,0.718,0.7177
"Bin.3.82",0.38389,0.43826,0.45747,0.49163,0.48954,0.51817,0.51728,0.51755
"Bin.6.66",0.37962,0.3715,0.55599,0.55625,0.55275,0.56101,0.56183,0.56097
"Bin.6.54",0.37638,0.46302,0.48916,0.53779,0.53422,0.5646,0.56575,0.56544
"Bin.6.50",0.37453,0.54383,0.59073,0.61473,0.61637,0.63832,0.63784,0.63834
"Bin.8.06",0.36835,0.40431,0.45638,0.46672,0.46435,0.46264,0.47749,0.49768
"Bin.0.66",0.36379,0.34687,0.55688,0.55605,0.55234,0.55214,0.5536,0.55481
"Bin.9.98",0.35115,0.3861,0.39002,0.38486,0.38543,0.38386,0.4155,0.41487
"Bin.6.94",0.34592,0.3253,0.57827,0.57069,0.56764,0.57535,0.57496,0.57429
"Bin.2.78",0.34206,0.32205,0.48658,0.559,0.56276,0.56398,0.56773,0.56955
"Bin.0.70",0.33669,0.32267,0.54233,0.54462,0.5421,0.54127,0.54164,0.54181
"Bin.1.30",0.32795,0.57508,0.57256,0.58831,0.58466,0.58727,0.5906,0.59035
"Bin.3.78",0.32759,0.56324,0.55254,0.59442,0.60237,0.60498,0.60346,0.60401
"Bin.3.02",0.32668,0.30731,0.31936,0.34086,0.34537,0.34506,0.37934,0.3801
"Bin.9.86",0.32264,0.36287,0.46285,0.4779,0.48448,0.48873,0.49356,0.49597
"Bin.0.34",0.32254,0.42138,0.5508,0.54429,0.54077,0.54648,0.54523,0.55395
"Bin.7.70",0.29789,0.41339,0.40619,0.40327,0.45677,0.4839,0.49172,0.50491
"Bin.0.42",0.29681,0.45173,0.56459,0.55832,0.55458,0.55327,0.55188,0.55306
"Bin.7.50",0.27779,0.35046,0.47507,0.517,0.53645,0.55341,0.55332,0.56516
"Bin.2.90",0.27502,0.31441,0.35881,0.36221,0.37007,0.36876,0.40208,0.40399
"Bin.9.34",0.25666,0.26748,0.36688,0.37845,0.39353,0.39222,0.39951,0.40019
"Bin.6.78",0.24411,0.23841,0.5215,0.51502,0.51161,0.51711,0.51672,0.51594
"Bin.2.38",0.23307,0.74757,0.7353,0.72826,0.73145,0.74215,0.74026,0.74173
"Bin.9.26",0.231,0.49228,0.51933,0.51262,0.51118,0.51547,0.52421,0.52515
"Bin.6.46",0.2261,0.4752,0.52692,0.54642,0.5508,0.57636,0.57579,0.57639
"Bin.9.90",0.21858,0.32051,0.33096,0.3293,0.32741,0.32749,0.37377,0.37318
"Bin.9.74",0.21668,0.31756,0.34836,0.37865,0.40424,0.40312,0.40409,0.41537
"Bin.9.10",0.16675,0.18453,0.46704,0.47849,0.47705,0.47734,0.47683,0.4761
"Bin.9.62",0.16028,0.21425,0.28392,0.32153,0.35261,0.35616,0.37746,0.38021
"Bin.6.70",0.15921,0.18994,0.45814,0.46208,0.45897,0.46469,0.46833,0.46761
"Bin.9.02",0.15402,0.1577,0.47078,0.47641,0.47476,0.47607,0.47637,0.47689
"Bin.3.26",0.1478,0.1389,0.23024,0.33938,0.45073,0.44922,0.44851,0.44781
"Bin.8.02",0.1456,0.42037,0.47588,0.46973,0.46764,0.46659,0.47262,0.49685
"Bin.6.74",0.13708,0.16971,0.48194,0.47685,0.47365,0.47825,0.47912,0.47837
"Bin.3.42",0.13577,0.55648,0.54472,0.57886,0.60412,0.61531,0.62357,0.62276
"Bin.6.98",0.13337,0.12534,0.34614,0.38387,0.38748,0.40637,0.40727,0.40664
"Bin.0.74",0.11478,0.11202,0.4789,0.47498,0.47206,0.477,0.4763,0.47606
"Bin.9.58",0.10891,0.10748,0.25938,0.26368,0.31731,0.32704,0.35289,0.35511
"Bin.8.86",0.094138,0.24081,0.27933,0.33479,0.3376,0.33624,0.33555,0.3367
"Bin.9.66",0.090298,0.090861,0.22554,0.24819,0.25628,0.27622,0.30148,0.32971
"Bin.7.26",0.088749,0.68972,0.67398,0.72137,0.71674,0.71607,0.71498,0.71606
"Bin.9.54",0.086815,0.11808,0.233,0.24177,0.24443,0.25648,0.26088,0.26758
"Bin.7.94",0.085749,0.35631,0.35312,0.3725,0.4049,0.41252,0.413,0.41986
"Bin.0.38",0.07816,0.25185,0.44388,0.45398,0.47044,0.47428,0.50925,0.51182
"Bin.2.82",0.060538,0.06389,0.45317,0.54402,0.54071,0.54486,0.54344,0.54944
"Bin.4.02",0.060057,0.37083,0.37143,0.44298,0.49895,0.49875,0.4974,0.49993
"Bin.9.38",0.057139,0.12676,0.51749,0.511,0.51321,0.51124,0.51905,0.51823
"Bin.9.46",0.051581,0.23419,0.38826,0.38987,0.38789,0.38668,0.42256,0.42241
"Bin.2.42",0.041806,0.41002,0.4682,0.48008,0.53783,0.544,0.55001,0.54923
"Bin.9.94",0.036914,0.037486,0.092903,0.18458,0.18409,0.187,0.19199,0.19193
"Bin.2.94",0.035094,0.27449,0.41652,0.50741,0.504,0.50945,0.51166,0.5117
"Bin.1.10",0.03215,0.75165,0.73823,0.7417,0.73741,0.7389,0.73707,0.73774
"Bin.8.18",0.031752,0.41814,0.44197,0.44184,0.44811,0.45945,0.45871,0.46801
"Bin.9.06",0.021876,0.18707,0.39136,0.43072,0.42819,0.4289,0.43394,0.4357
"Bin.7.98",0.012034,0.20522,0.21691,0.35417,0.35218,0.35866,0.38768,0.39965
"Bin.6.90",0.0071004,0.10831,0.33731,0.33432,0.33309,0.35879,0.36811,0.36752
"Bin.1.22",0.0046603,0.64226,0.62884,0.63326,0.68023,0.67745,0.67644,0.67721
"Bin.7.10",0.0043352,0.10791,0.15254,0.26749,0.34113,0.38093,0.38013,0.38734
